name,length,polarity,nominal pattern,nominal pattern color,ssith pattern,ssith pattern color,brake hack pattern,brake hack pattern color,throttle hack pattern,throttle hack pattern color,steering hack pattern,steering hack pattern color,transmission hack pattern,transmission hack pattern color,all off,all off color,all on,all on color
leds_branch2_transmission,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",off,"(0, 0, 0)",off,"(0, 0, 0)",off,"(0,0,0)",ants_reverse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_branch1_abs,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",off,"(0, 0, 0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_passenger_side_front_brakes,64,normal,off,"(0, 0, 0)",off,"(0, 0, 0)",pulse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_open4,64,normal,off,"(0, 0, 0)",off,"(0, 0, 0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_open5,64,normal,off,"(0, 0, 0)",off,"(0, 0, 0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_open6,64,normal,off,"(0, 0, 0)",off,"(0, 0, 0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_insecure_fpga_output,64,normal,ants_reverse,"(0,255,0)",off,"(0, 0, 0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",ants_reverse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_insecure_fpga_input,64,normal,ants,"(0,255,0)",off,"(0, 0, 0)",ants,"(255,0,0)",ants,"(255,0,0)",ants,"(255,0,0)",ants,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_insecure_fpga_box,64,normal,pulse,"(0,255,0)",off,"(0, 0, 0)",pulse,"(255,0,0)",pulse,"(255,0,0)",pulse,"(255,0,0)",pulse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_under_engine_bay,64,normal,off,"(0, 0, 0)",off,"(0, 0, 0)",off,"(0,0,0)",pulse,"(255,0,0)",off,"(0,0,0)",pulse,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_driver_side_rear_brakes,64,normal,off,"(0, 0, 0)",off,"(0, 0, 0)",pulse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_open7,64,normal,off,"(0, 0, 0)",off,"(0, 0, 0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_open8,64,normal,off,"(0, 0, 0)",off,"(0, 0, 0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_open9,64,normal,off,"(0, 0, 0)",off,"(0, 0, 0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_trunk_a,64,normal,ants,"(0,255,0)",ants,"(0,0,255)",ants,"(255,0,0)",ants,"(255,0,0)",ants,"(255,0,0)",ants,"(255,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_secure_fpga_input,64,normal,off,"(0, 0, 0)",ants,"(0,0,255)",off,"(0,0,0)",off,"(0,0,0)",ants,"(0,0,0)",ants,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_passenger_side_rear_brakes,64,normal,off,"(0, 0, 0)",off,"(0, 0, 0)",pulse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_secure_fpga_box,64,normal,off,"(0, 0, 0)",pulse,"(0,0,255)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_secure_fpga_output,64,normal,off,"(0, 0, 0)",ants_reverse,"(0,0,255)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_branch7_generic_ecu,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",off,"(0,0,0)",ants_reverse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_branch6_lka,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",off,"(0,0,0)",off,"(0,0,0)",ants_reverse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
leds_branch5_brakes,64,normal,ants_reverse,"(0,255,0)",ants_reverse,"(0,0,255)",ants_reverse,"(255,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",off,"(0,0,0)",on,"(255,255,255)"
